year,mean_mn_gbp,p5_mn_gbp,p50_mn_gbp,p95_mn_gbp
2025,464.40688281174766,439.18647105904984,464.8985751678335,489.0118811269773
2026,388.4655235948877,334.58152826072643,388.76705578078577,444.4153596578657
2027,365.50311373044167,301.4663231190377,365.2731564939608,431.3791024730377
2028,325.1777609735336,262.62513836664584,325.72020470214716,387.6636406751164
2029,321.82661158436713,260.53579799348364,321.5633172644924,382.64450140353193
2030,255.6728506613172,208.65199762597504,255.78359334280623,304.5465084317015
2031,227.09242897460285,188.16637871117956,226.7022392445416,268.4174243256176
2032,195.03521598043946,163.60187300521827,194.69566719915696,225.11092378217475
2033,123.61920272103414,96.39946281410265,123.4284614322624,150.6427021837167
2034,85.49531354045739,71.73126425874709,85.28121332570291,99.39030620836449
2035,52.56176158276749,38.51146655511944,52.51149345580369,67.08342482164264
2036,9.25,9.25,9.25,9.25
2037,9.25,9.25,9.25,9.25
2038,9.25,9.25,9.25,9.25
2039,9.25,9.25,9.25,9.25
2040,6.375,6.375,6.375,6.375
2041,6.375,6.375,6.375,6.375
2042,0.0,0.0,0.0,0.0
2043,0.0,0.0,0.0,0.0
2044,0.0,0.0,0.0,0.0
2045,0.0,0.0,0.0,0.0
2046,0.0,0.0,0.0,0.0
2047,0.0,0.0,0.0,0.0
2048,0.0,0.0,0.0,0.0
2049,0.0,0.0,0.0,0.0
2050,0.0,0.0,0.0,0.0
2051,0.0,0.0,0.0,0.0
2052,0.0,0.0,0.0,0.0
2053,0.0,0.0,0.0,0.0
2054,0.0,0.0,0.0,0.0
