year,mean_mn_gbp,p5_mn_gbp,p50_mn_gbp,p95_mn_gbp
2025,464.40688281174766,439.18647105904984,464.8985751678335,489.0118811269773
2026,457.318256758827,401.2378700812242,456.8480702954128,514.1220599083996
2027,450.09084583260636,381.81727152419165,449.50562237873834,519.5054185543032
2028,442.10131702050234,367.85057934562457,442.5574972899197,516.8550103475745
2029,438.7501676313348,369.79662244291245,438.13568887646795,508.289296039142
2030,430.3466008313106,357.9828350157807,430.22823396918,502.64872758928976
2031,422.5230797949186,356.0161695442984,422.0014430976083,492.0773186997947
2032,424.85692686752384,357.9564994269259,424.678654324195,492.26930846487176
2033,417.44418940354655,336.3794740698575,416.9192841555364,499.26473148860117
2034,407.1496678168456,328.9208498067232,407.35438139304097,485.52683704145255
2035,397.8603957662421,316.7136196039536,398.2041311360602,479.8354513200007
2036,385.8798957662408,304.7331196039536,386.22363113606025,467.8549513200007
2037,385.8798957662408,304.7331196039536,386.22363113606025,467.8549513200007
2038,385.8798957662408,304.7331196039536,386.22363113606025,467.8549513200007
2039,385.8798957662408,304.7331196039536,386.22363113606025,467.8549513200007
2040,384.8118082203709,303.74286057512995,385.3271755962963,466.7268101292301
2041,384.8118082203709,303.74286057512995,385.3271755962963,466.7268101292301
2042,381.9982013968239,300.8937016078547,382.75798178109756,464.01307317523623
2043,381.9982013968239,300.8937016078547,382.75798178109756,464.01307317523623
2044,381.9982013968239,300.8937016078547,382.75798178109756,464.01307317523623
2045,381.9982013968239,300.8937016078547,382.75798178109756,464.01307317523623
2046,366.4220884111241,282.01824140039736,365.62767104423807,452.4628956945845
2047,362.991235379869,276.935997491695,363.1506533871874,449.06674141974315
2048,356.50615811211964,271.59473175082775,357.42779661602333,442.165004123396
2049,356.50615811211964,271.59473175082775,357.42779661602333,442.165004123396
2050,346.73581662188167,261.07001805819306,347.372865809957,427.0149617942022
2051,343.75465527471334,259.3162901490736,344.26168946702774,422.6067719863743
2052,339.4352286469873,257.1510925611092,340.1357819255701,417.15150156767254
2053,332.19071171405426,248.3059437933445,331.5809544759562,413.0989645995089
2054,329.1361560620315,243.50630900203996,328.14927712844803,412.37621814104847
