actor,instrument,objective,sector,climate_amount_usd_m
European Investment Bank,debt,mitigation,energy,46132.957362586145
European Investment Bank,debt,mitigation,transport,43389.430797914065
World Bank (IBRD/IDA),debt,both,transport,20257.7363
World Bank (IBRD/IDA),debt,mitigation,energy,19330.5637
World Bank (IBRD/IDA),debt,both,water,13750.6028
European Investment Bank,debt,mitigation,industry_mining,13535.122221865751
Japan / Japanese International Co-operation Agency,debt,mitigation,transport,12545.3340814
European Investment Bank,debt,mitigation,other,9176.161460649799
World Bank (IBRD/IDA),debt,both,agriculture_land_use,7847.5236
European Investment Bank,debt,both,transport,7612.972325422922
World Bank (IBRD/IDA),debt,both,other,7404.1598
World Bank (IBRD/IDA),grant,mitigation,energy,7116.6191
World Bank (IBRD/IDA),debt,both,energy,7104.1098
Asian Development Bank,debt,both,transport,6615.82068589
World Bank (IBRD/IDA),debt,both,finance_policy,6550.428
European Investment Bank,debt,both,energy,5887.566029560196
World Bank (IBRD/IDA),debt,adaptation,water,5821.52
World Bank (IBRD/IDA),debt,mitigation,transport,5742.9889
Inter American Development Bank,other,mitigation,other,5402.1923364141
World Bank (IBRD/IDA),debt,adaptation,transport,4733.2557
Asian Development Bank,debt,both,energy,4535.645363348569
World Bank (IBRD/IDA),debt,adaptation,finance_policy,4506.1599
World Bank (IBRD/IDA),grant,both,energy,4326.442
European Investment Bank,debt,both,water,4302.941181482091
Asian Development Bank,debt,both,other,4298.12927677
European Investment Bank,guarantee,mitigation,other,4020.175905622603
Asian Development Bank,debt,both,water,3778.28997881
Inter American Development Bank,other,mitigation,energy,3751.1320251861002
European Bank for Reconstruction and Development ,debt,both,energy,3638.0434099999998
European Investment Bank,debt,both,education,3505.550921829973
Asian Development Bank,debt,both,agriculture_land_use,3264.10930921
European Investment Bank,debt,both,buildings,3235.595749282887
Germany / KfW Bankengruppe (KfW banking group),debt,mitigation,energy,3167.7699986
World Bank (IBRD/IDA),grant,both,water,2575.562
World Bank (IBRD/IDA),debt,both,education,2242.8949
World Bank (IBRD/IDA),grant,both,transport,2221.0731
World Bank (IBRD/IDA),debt,both,health,2212.9356
European Investment Bank,debt,adaptation,water,2177.023566397
United States / International Development Finance Corporation,debt,mitigation,transport,2136.6088
European Investment Bank,debt,mitigation,health,2091.8895619354844
Asian Development Bank,debt,mitigation,energy,2017.0447372371434
World Bank (IBRD/IDA),debt,mitigation,finance_policy,1891.9423000000002
European Investment Bank,debt,mitigation,buildings,1883.5311884419484
World Bank (IBRD/IDA),debt,adaptation,other,1807.9395
Inter American Development Bank,other,both,transport,1784.454840071
Inter American Development Bank,other,adaptation,other,1715.1633522995
European Investment Bank,guarantee,mitigation,transport,1686.8881184444272
Inter American Development Bank,other,adaptation,transport,1682.6623015224
Japan / Japanese International Co-operation Agency,equity,mitigation,other,1572.5082400000001
United States / Agency for International Development,grant,adaptation,health,1557.7353268000002
World Bank (IBRD/IDA),grant,both,agriculture_land_use,1555.41
World Bank (IBRD/IDA),debt,mitigation,water,1476.963
IMF Resilience and Sustainability Trust,debt,both,transport,1419.3699908
Korea / Export-Import Bank of Korea,debt,adaptation,transport,1308.3588
Germany / KfW Bankengruppe (KfW banking group),debt,mitigation,transport,1290.5156864
World Bank (IBRD/IDA),debt,mitigation,other,1284.1502
Inter American Development Bank,other,mitigation,water,1281.62721
World Bank (IBRD/IDA),grant,both,finance_policy,1273.426
World Bank (IBRD/IDA),grant,both,other,1264.2385
African Development Bank,other,adaptation,other,1264.20481581016
World Bank (IBRD/IDA),debt,both,industry_mining,1258.574
World Bank (IBRD/IDA),debt,adaptation,agriculture_land_use,1220.272
Inter American Development Bank,other,adaptation,water,1201.1579771019
European Investment Bank,debt,both,other,1193.7480412504
World Bank (IBRD/IDA),grant,adaptation,finance_policy,1175.47
EU Institutions / European Commission,grant,both,other,1167.5567792
Inter American Development Bank,other,both,energy,1156.02721797
World Bank (IBRD/IDA),grant,adaptation,water,1135.384
World Bank (IBRD/IDA),debt,both,buildings,1093.4955
World Bank (IBRD/IDA),debt,adaptation,buildings,1055.036
France / French Development Agency,debt,both,finance_policy,1010.0437922
Inter American Development Bank,other,both,other,956.1734100000001
Japan / Japanese International Co-operation Agency,debt,both,transport,945.8903014
Asian Development Bank,debt,both,health,911.55117834
European Investment Bank,guarantee,mitigation,industry_mining,903.96669278943
Korea / Export-Import Bank of Korea,debt,both,transport,881.3042
EU Institutions / European Commission,grant,both,transport,880.6597344
European Investment Bank,guarantee,both,transport,865.04
Germany / Federal Ministry for Economic Cooperation and Development,grant,mitigation,energy,862.450796
World Bank (IBRD/IDA),debt,mitigation,agriculture_land_use,821.5712
Asian Development Bank,debt,mitigation,other,805.3900493599999
France / French Development Agency,debt,both,industry_mining,801.3172822
France / French Development Agency,debt,mitigation,energy,793.7393860000001
European Investment Bank,debt,mitigation,education,793.2563465000001
France / French Development Agency,debt,mitigation,transport,791.570207
EU Institutions / European Commission,grant,mitigation,transport,777.1609714000001
IMF Resilience and Sustainability Trust,debt,adaptation,transport,775.9846220000001
United States / Agency for International Development,grant,both,health,772.703566
European Investment Bank,debt,adaptation,agriculture_land_use,763.2811024
World Bank (IBRD/IDA),grant,mitigation,transport,755.2013999999999
World Bank (IBRD/IDA),grant,adaptation,transport,752.0245
Germany / Federal Ministry for Economic Cooperation and Development,grant,adaptation,other,699.9457774
European Investment Bank,debt,mitigation,water,696.0367738566105
World Bank (IBRD/IDA),debt,mitigation,industry_mining,679.3605
Japan / Japanese International Co-operation Agency,debt,mitigation,energy,672.96389
World Bank (IBRD/IDA),debt,adaptation,health,666.0504
IMF Resilience and Sustainability Trust,debt,mitigation,transport,661.4774508
European Investment Bank,equity,mitigation,industry_mining,659.4968339999999
Inter American Development Bank,other,both,agriculture_land_use,651.486958
EU Institutions / European Commission,grant,mitigation,energy,641.4637624
Korea / Export-Import Bank of Korea,debt,mitigation,energy,633.885871
Inter American Development Bank,other,adaptation,energy,630.2133251976
EU Institutions / European Commission,grant,both,agriculture_land_use,621.4822918
World Bank (IBRD/IDA),other,mitigation,energy,621.0855
European Investment Bank,equity,mitigation,transport,609.011908005435
France / French Development Agency,debt,both,energy,606.549488
World Bank (IBRD/IDA),other,both,energy,605.5
France / French Development Agency,debt,both,water,593.6748484
African Development Bank,other,adaptation,agriculture_land_use,589.624025769
European Investment Bank,debt,adaptation,health,575.07243
European Investment Bank,debt,adaptation,other,564.40602
EU Institutions / European Commission,grant,both,energy,561.871788
World Bank (IBRD/IDA),debt,mitigation,waste,550.8565
Netherlands / Ministry of Foreign Affairs of the Netherlands,grant,adaptation,other,549.5358544000001
European Bank for Reconstruction and Development ,debt,both,water,548.23183
France / French Development Agency,debt,both,buildings,543.336752
EU Institutions / European Commission,grant,both,finance_policy,539.9363206
United States / International Development Finance Corporation,equity,mitigation,transport,537.5
Asian Development Bank,debt,adaptation,agriculture_land_use,536.662
Japan / Japanese International Co-operation Agency,debt,adaptation,water,532.1565478
African Development Bank,other,mitigation,other,516.69541937286
United Kingdom / British International Investment,equity,mitigation,energy,515.7645736000001
European Investment Bank,equity,mitigation,energy,512.6348961722595
World Bank (IBRD/IDA),grant,both,health,511.271
Germany / KfW Bankengruppe (KfW banking group),debt,adaptation,water,503.9947138
Germany / KfW Bankengruppe (KfW banking group),debt,mitigation,finance_policy,492.684482
Norway / NORFUND,equity,mitigation,energy,480.1077952
Germany / Deutsche Investitions- und Entwicklungsgesellschaft mbH (German Investment and Development Company),debt,mitigation,energy,478.307526
European Investment Bank,debt,adaptation,transport,472.38010399999996
France / Proparco,debt,mitigation,industry_mining,467.164606
Inter American Development Bank,other,mitigation,transport,465.1033630746
IMF Resilience and Sustainability Trust,debt,mitigation,energy,459.4008504
Japan / Japanese International Co-operation Agency,debt,adaptation,transport,458.276818
Inter American Development Bank,other,adaptation,agriculture_land_use,441.45804499999997
Asian Development Bank,debt,adaptation,transport,440.05250703999997
United Kingdom / British International Investment,equity,mitigation,finance_policy,437.7058924
France / French Development Agency,debt,mitigation,other,436.94570619999996
African Development Bank,other,adaptation,water,434.38891003942
Germany / Federal Ministry for Economic Cooperation and Development,grant,adaptation,water,415.3598256
African Development Bank,other,mitigation,transport,414.37001478214
EU Institutions / European Commission,grant,adaptation,other,413.0129804
Germany / Federal Ministry for Economic Cooperation and Development,grant,both,other,409.53639560000005
United States / Agency for International Development,grant,adaptation,agriculture_land_use,404.3257874
France / Proparco,debt,mitigation,energy,403.293507
Global Environment Facility / GEF Trust Fund,grant,both,agriculture_land_use,386.3102508
Asian Development Bank,debt,mitigation,transport,381.6845893980161
