year,forward_curve_rate
2025,0.04540373151035167
2026,0.04406645354523784
2027,0.042923232803160155
2028,0.04192019312387557
2029,0.04101515097062754
2030,0.04017782191934507
2031,0.03938947013758181
2032,0.038641943372671884
2033,0.037936109527380905
2034,0.03727978074783422
2035,0.03668527064790525
2036,0.03616677434384548
2037,0.03573778534294836
2038,0.035408765860532085
2039,0.035185267755233805
2040,0.03506666199494311
2041,0.035045579320962486
2042,0.03510809902041498
2043,0.03523465290327518
2044,0.03540154454692898
2045,0.03558292617349115
2046,0.03575303280495084
2047,0.035888449781395895
2048,0.0359701876480846
2049,0.035985358051496164
2050,0.03592828375798825
2051,0.03580093142074264
2052,0.035612621913621294
2053,0.0353790435291334
2054,0.03512066128902989
