year,p5_mn_gbp,p95_mn_gbp,risk_spread_mn_gbp
2047,276.935997491695,449.06674141974315,172.13074392804816
2048,271.59473175082775,442.165004123396,170.57027237256824
2049,271.59473175082775,442.165004123396,170.57027237256824
2046,282.01824140039736,452.4628956945845,170.44465429418716
2054,243.50630900203996,412.37621814104847,168.8699091390085
2050,261.07001805819306,427.0149617942022,165.94494373600912
2053,248.3059437933445,413.0989645995089,164.7930208061644
2051,259.3162901490736,422.6067719863743,163.29048183730072
2037,304.7331196039536,467.8549513200007,163.1218317160471
2038,304.7331196039536,467.8549513200007,163.1218317160471
2035,316.7136196039536,479.8354513200007,163.1218317160471
2036,304.7331196039536,467.8549513200007,163.1218317160471
2039,304.7331196039536,467.8549513200007,163.1218317160471
2043,300.8937016078547,464.01307317523623,163.1193715673815
2045,300.8937016078547,464.01307317523623,163.1193715673815
2044,300.8937016078547,464.01307317523623,163.1193715673815
2042,300.8937016078547,464.01307317523623,163.1193715673815
2041,303.74286057512995,466.7268101292301,162.98394955410015
2040,303.74286057512995,466.7268101292301,162.98394955410015
2033,336.3794740698575,499.26473148860117,162.88525741874366
2052,257.1510925611092,417.15150156767254,160.00040900656336
2034,328.9208498067232,485.52683704145255,156.60598723472935
2028,367.85057934562457,516.8550103475745,149.00443100194997
2030,357.9828350157807,502.64872758928976,144.66589257350904
2029,369.79662244291245,508.289296039142,138.49267359622957
2027,381.81727152419165,519.5054185543032,137.68814703011157
2031,356.0161695442984,492.0773186997947,136.0611491554963
2032,357.9564994269259,492.26930846487176,134.31280903794584
2026,401.2378700812242,514.1220599083996,112.88418982717542
2025,439.18647105904984,489.0118811269773,49.825410067927464
